SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237655347815055446,230.081964,52.89909,0.03716,ILTJ152019.67+525356.6,230.082,52.8991,1.4,ILTJ152019.72+525357.0,230.08216,52.89919,1.239,0.55,J152019.68+525356.6,12.548,0.023,12.289,0.022,9.379,0.027,2.91,0.259
1237657630066540749,186.854018,53.103544,0.03079,ILTJ122724.91+530612.3,186.8538,53.1034,1.2,ILTJ122724.94+530612.2,186.85392,53.10341,1.409,0.52,J122724.90+530612.3,12.733,0.027,12.733,0.029,9.881,0.051,2.852,0
1237658801505566750,202.203979,53.44291,0.02536,ILTJ132848.91+532634.4,202.2038,53.4429,2.9,ILTJ132848.95+532634.5,202.20394,53.44293,4.07,0.11,J132848.94+532634.5,12.525,0.022,12.423,0.022,8.861,0.023,3.562,0.102
1237657630603477177,187.103224,53.478003,0.03643,ILTJ122824.78+532840.9,187.1033,53.478,3.7,ILTJ122824.78+532840.9,187.10325,53.47803,4.181,0.12,J122824.76+532840.2,12.804,0.033,12.63,0.032,9.263,0.043,3.367,0.174
1237658916385456334,196.601544,53.4786,0.03105,ILTJ130624.96+532825.5,196.604,53.4737,0.8,ILTJ130624.99+532825.9,196.60411,53.47386,1.053,17.93,J130624.39+532842.1,14.334,0.037,14.086,0.045,10.302,0.053,3.784,0.248
1237657858222522456,187.473701,53.665369,0.03701,ILTJ122953.70+533955.3,187.4738,53.6654,4.4,ILTJ122953.70+533955.4,187.47375,53.66539,5.727,0.14,J122953.68+533955.3,12.879,0.023,12.663,0.024,8.899,0.024,3.764,0.216
1237658800967057680,195.920043,53.723239,0.02762,ILTJ130340.82+534324.1,195.9201,53.7234,3.2,ILTJ130340.81+534323.9,195.92004,53.72332,3.521,0.29,J130340.80+534323.8,12.684,0.023,12.692,0.024,11.367,0.144,1.325,-0.008
1237658801504649276,198.691835,53.820367,0.01572,ILTJ131446.04+534913.1,198.6918,53.8203,1.2,ILTJ131446.04+534913.2,198.69183,53.82035,1.324,0.06,J131446.04+534913.2,10.866,0.023,10.889,0.02,9.677,0.041,1.212,-0.023
1237661386530816015,212.057333,53.883487,0.04152,ILTJ140813.81+535300.1,212.0576,53.8834,1.4,ILTJ140813.78+535300.0,212.05741,53.88333,1.47,0.59,J140813.76+535300.6,11.832,0.023,11.894,0.022,11.235,0.114,0.659,-0.062
1237658917459918989,199.624881,54.066411,0.03267,ILTJ131829.97+540359.2,199.6249,54.0665,7.9,ILTJ131829.96+540359.0,199.62483,54.06641,8.494,0.1,J131829.97+540359.2,11.228,0.022,11.292,0.02,10.605,0.078,0.687,-0.064
1237659324945268758,219.569646,54.35038,0.03134,ILTJ143816.72+542101.3,219.5697,54.3504,2,ILTJ143816.70+542101.2,219.5696,54.35034,2.469,0.18,J143816.71+542101.3,13.114,0.023,13.06,0.024,10.593,0.064,2.467,0.054
1237658803116507274,203.897267,54.380695,0.0401,ILTJ133535.36+542250.3,203.8973,54.3807,5,ILTJ133535.35+542250.5,203.89728,54.3807,5.573,0.04,J133535.36+542250.5,12.049,0.023,11.95,0.022,8.607,0.023,3.343,0.099
1237659150459142239,222.693838,54.411208,0.03756,ILTJ145046.44+542440.4,222.6935,54.4112,0.9,ILTJ145046.44+542440.2,222.69352,54.41119,1.179,0.67,J145046.51+542440.3,11.005,0.022,11.05,0.019,10.144,0.042,0.906,-0.045
1237659326556668094,223.452653,54.506941,0.03667,ILTJ145348.68+543024.4,223.4528,54.5068,2.7,ILTJ145348.67+543024.5,223.4528,54.50683,4.323,0.51,J145348.65+543024.8,12.783,0.024,12.623,0.023,8.737,0.024,3.886,0.16
